Timestamp,PID,File read size(MB),Runtime(seconds),Memory usage(MB),Cpu Utilization
5/10/23 9:16,733 3981,0.0625,4.21,20.05,1.9
5/10/23 9:16,125 3991,0.0625,4.11,19.78,1.6
5/10/23 9:16,820 3997,0.0625,4.28,31.88,3.5
5/10/23 9:17,057 4004,0.0625,4.53,32.3,2.8
5/10/23 9:17,356 4038,0.0625,4.55,32.02,1.7
5/10/23 9:17,689 4043,0.0625,4.55,32.38,1.8
5/10/23 9:17,926 4048,0.0625,4.51,32,2.9
5/10/23 9:17,023 4059,0.0625,4.45,31.08,3.7
5/10/23 9:17,215 4067,0.0625,4.49,33.48,1
5/10/23 9:18,499 4075,0.0625,4.53,31.62,1.3
5/10/23 9:18,876 4080,0.0625,4.58,31.58,1.4
5/10/23 9:18,020 4119,0.0625,4.47,33.47,1.4
5/10/23 9:18,350 4124,0.0625,4.56,30.97,1.1
5/10/23 9:18,570 4129,0.0625,4.5,32.3,1.6
5/10/23 9:18,732 4138,0.0625,4.48,30.92,1.3
5/10/23 9:18,021 4143,0.0625,4.54,30.64,1.2
5/10/23 9:19,139 4148,0.0625,4.46,31.64,1.7
5/10/23 9:19,458 4153,0.0625,4.56,31.41,1.4
5/10/23 9:19,638 4192,0.0625,4.49,33.34,1.2
5/10/23 9:19,860 4197,0.0625,4.51,32.12,1.1
5/10/23 9:19,092 4202,0.0625,4.51,31.97,1.3
5/10/23 9:19,344 4210,0.0625,4.52,33.06,1.3
5/10/23 9:20,642 4215,0.0625,4.55,31.89,1.3
5/10/23 9:20,739 4220,0.0625,4.45,31.02,3.1
5/10/23 9:20,009 4260,0.0625,4.53,32.06,1.2
5/10/23 9:20,163 4265,0.0625,4.48,32.83,2.4
5/10/23 9:20,355 4271,0.0625,4.49,32.2,1.1
5/10/23 9:20,653 4277,0.0625,4.54,32.84,1.5
5/10/23 9:20,912 4284,0.0625,4.53,31.69,2.1
5/10/23 9:21,030 4289,0.0625,4.46,31.52,1.6
5/10/23 9:21,279 4294,0.0625,4.53,31.08,2
5/10/23 9:21,620 4328,0.0625,4.57,32.03,1.6
5/10/23 9:21,801 4333,0.0625,4.49,31.03,2.6
5/10/23 9:21,045 4338,0.0625,4.52,31.2,2.6
5/10/23 9:21,434 4346,0.0625,4.59,31.73,1.7
5/10/23 9:22,684 4357,0.0625,4.52,31.23,1.2
5/10/23 9:22,024 4362,0.0625,4.57,30.69,5.3
5/10/23 9:22,415 4402,0.0625,4.59,32.11,2
5/10/23 9:22,496 4407,0.0625,4.43,32.09,11.6
5/10/23 9:22,708 4412,0.0625,4.5,30.77,12.5
5/10/23 9:22,941 4417,0.0625,4.52,32.09,12.3
5/10/23 9:22,162 4428,0.0625,4.5,31.95,11.6
5/10/23 9:23,289 4440,0.0625,4.46,31.77,7
5/10/23 9:23,578 4445,0.0625,4.54,31.66,3.1
5/10/23 9:23,823 4485,0.0625,4.52,31.66,1.6
5/10/23 9:23,123 4492,0.0625,4.55,31.91,8.3
5/10/23 9:23,414 4501,0.0625,4.54,30.53,11.7
